i,lookup[i]
0,-865.899
1,-863.451
2,-861.011
3,-858.578
4,-856.152
5,-853.733
6,-851.322
7,-848.917
8,-846.52
9,-844.13
10,-841.747
11,-839.371
12,-837.002
13,-834.64
14,-832.285
15,-829.937
16,-827.596
17,-825.262
18,-822.935
19,-820.615
20,-818.302
21,-815.995
22,-813.696
23,-811.403
24,-809.117
25,-806.838
26,-804.565
27,-802.299
28,-800.04
29,-797.788
30,-795.542
31,-793.303
32,-791.071
33,-788.845
34,-786.626
35,-784.413
36,-782.207
37,-780.008
38,-777.815
39,-775.628
40,-773.448
41,-771.274
42,-769.107
43,-766.946
44,-764.792
45,-762.644
46,-760.502
47,-758.367
48,-756.238
49,-754.115
50,-751.999
51,-749.888
52,-747.784
53,-745.686
54,-743.595
55,-741.509
56,-739.43
57,-737.357
58,-735.29
59,-733.229
60,-731.174
61,-729.125
62,-727.083
63,-725.046
64,-723.015
65,-720.991
66,-718.972
67,-716.959
68,-714.952
69,-712.951
70,-710.956
71,-708.967
72,-706.984
73,-705.006
74,-703.034
75,-701.069
76,-699.109
77,-697.154
78,-695.206
79,-693.263
80,-691.326
81,-689.394
82,-687.469
83,-685.549
84,-683.634
85,-681.725
86,-679.822
87,-677.925
88,-676.033
89,-674.146
90,-672.265
91,-670.39
92,-668.52
93,-666.656
94,-664.797
95,-662.943
96,-661.095
97,-659.253
98,-657.415
99,-655.584
100,-653.757
101,-651.936
102,-650.12
103,-648.31
104,-646.505
105,-644.705
106,-642.91
107,-641.121
108,-639.337
109,-637.558
110,-635.785
111,-634.016
112,-632.253
113,-630.495
114,-628.742
115,-626.994
116,-625.251
117,-623.514
118,-621.781
119,-620.054
120,-618.331
121,-616.614
122,-614.902
123,-613.194
124,-611.492
125,-609.795
126,-608.102
127,-606.415
128,-604.732
129,-603.054
130,-601.382
131,-599.714
132,-598.051
133,-596.393
134,-594.739
135,-593.091
136,-591.447
137,-589.808
138,-588.174
139,-586.545
140,-584.92
141,-583.3
142,-581.685
143,-580.074
144,-578.468
145,-576.867
146,-575.271
147,-573.679
148,-572.092
149,-570.509
150,-568.931
151,-567.358
152,-565.789
153,-564.225
154,-562.665
155,-561.11
156,-559.559
157,-558.013
158,-556.471
159,-554.934
160,-553.401
161,-551.873
162,-550.349
163,-548.829
164,-547.314
165,-545.804
166,-544.297
167,-542.795
168,-541.298
169,-539.804
170,-538.315
171,-536.831
172,-535.351
173,-533.874
174,-532.403
175,-530.935
176,-529.472
177,-528.013
178,-526.558
179,-525.107
180,-523.661
181,-522.219
182,-520.78
183,-519.347
184,-517.917
185,-516.491
186,-515.069
187,-513.652
188,-512.239
189,-510.829
190,-509.424
191,-508.023
192,-506.626
193,-505.232
194,-503.843
195,-502.458
196,-501.077
197,-499.7
198,-498.326
199,-496.957
200,-495.592
201,-494.23
202,-492.873
203,-491.519
204,-490.169
205,-488.824
