i,lookup[i]
0,-2369.9
1,-2363.98
2,-2358.08
3,-2352.2
4,-2346.33
5,-2340.48
6,-2334.64
7,-2328.82
8,-2323.02
9,-2317.23
10,-2311.46
11,-2305.7
12,-2299.96
13,-2294.24
14,-2288.53
15,-2282.84
16,-2277.16
17,-2271.5
18,-2265.85
19,-2260.22
20,-2254.6
21,-2249
22,-2243.41
23,-2237.84
24,-2232.29
25,-2226.75
26,-2221.22
27,-2215.71
28,-2210.22
29,-2204.74
30,-2199.27
31,-2193.82
32,-2188.39
33,-2182.97
34,-2177.56
35,-2172.17
36,-2166.79
37,-2161.43
38,-2156.09
39,-2150.75
40,-2145.44
41,-2140.13
42,-2134.84
43,-2129.57
44,-2124.31
45,-2119.06
46,-2113.83
47,-2108.61
48,-2103.41
49,-2098.22
50,-2093.04
51,-2087.88
52,-2082.74
53,-2077.6
54,-2072.48
55,-2067.38
56,-2062.29
57,-2057.21
58,-2052.14
59,-2047.09
60,-2042.06
61,-2037.03
62,-2032.02
63,-2027.03
64,-2022.05
65,-2017.08
66,-2012.12
67,-2007.18
68,-2002.25
69,-1997.33
70,-1992.43
71,-1987.54
72,-1982.67
73,-1977.81
74,-1972.96
75,-1968.12
76,-1963.3
77,-1958.49
78,-1953.69
79,-1948.91
80,-1944.13
81,-1939.38
82,-1934.63
83,-1929.9
84,-1925.18
85,-1920.47
86,-1915.77
87,-1911.09
88,-1906.42
89,-1901.77
90,-1897.12
91,-1892.49
92,-1887.87
93,-1883.26
94,-1878.67
95,-1874.09
96,-1869.51
97,-1864.96
98,-1860.41
99,-1855.88
100,-1851.36
101,-1846.85
102,-1842.35
103,-1837.87
104,-1833.39
105,-1828.93
106,-1824.48
107,-1820.05
108,-1815.62
109,-1811.21
110,-1806.81
111,-1802.42
112,-1798.04
113,-1793.67
114,-1789.32
115,-1784.97
116,-1780.64
117,-1776.32
118,-1772.01
119,-1767.72
120,-1763.43
121,-1759.16
122,-1754.9
123,-1750.64
124,-1746.41
125,-1742.18
126,-1737.96
127,-1733.75
128,-1729.56
129,-1725.37
130,-1721.2
131,-1717.04
132,-1712.89
133,-1708.75
134,-1704.62
135,-1700.51
136,-1696.4
137,-1692.3
138,-1688.22
139,-1684.15
140,-1680.08
141,-1676.03
142,-1671.99
143,-1667.96
144,-1663.94
145,-1659.93
146,-1655.93
147,-1651.94
148,-1647.96
149,-1644
150,-1640.04
151,-1636.1
152,-1632.16
153,-1628.23
154,-1624.32
155,-1620.41
156,-1616.52
157,-1612.64
158,-1608.76
159,-1604.9
160,-1601.05
161,-1597.2
162,-1593.37
163,-1589.55
164,-1585.73
165,-1581.93
166,-1578.14
167,-1574.36
168,-1570.58
169,-1566.82
170,-1563.07
171,-1559.32
172,-1555.59
173,-1551.87
174,-1548.15
175,-1544.45
176,-1540.76
177,-1537.07
178,-1533.4
179,-1529.73
180,-1526.08
181,-1522.43
182,-1518.79
183,-1515.17
184,-1511.55
185,-1507.94
186,-1504.34
187,-1500.75
188,-1497.17
189,-1493.6
190,-1490.04
191,-1486.49
192,-1482.95
193,-1479.41
194,-1475.89
195,-1472.37
196,-1468.87
197,-1465.37
198,-1461.88
199,-1458.41
200,-1454.94
201,-1451.48
202,-1448.03
203,-1444.58
204,-1441.15
205,-1437.72
206,-1434.31
207,-1430.9
208,-1427.5
209,-1424.12
210,-1420.74
211,-1417.36
212,-1414
213,-1410.65
214,-1407.3
215,-1403.96
216,-1400.64
217,-1397.32
218,-1394.01
219,-1390.7
220,-1387.41
221,-1384.12
222,-1380.85
223,-1377.58
224,-1374.32
225,-1371.07
226,-1367.82
227,-1364.59
228,-1361.36
229,-1358.14
230,-1354.93
231,-1351.73
232,-1348.54
233,-1345.35
234,-1342.18
235,-1339.01
236,-1335.85
237,-1332.7
238,-1329.55
239,-1326.41
240,-1323.29
241,-1320.17
242,-1317.05
243,-1313.95
244,-1310.85
245,-1307.76
246,-1304.68
247,-1301.61
248,-1298.54
249,-1295.49
250,-1292.44
251,-1289.4
252,-1286.36
253,-1283.34
254,-1280.32
255,-1277.31
256,-1274.3
257,-1271.31
258,-1268.32
259,-1265.34
260,-1262.37
261,-1259.4
262,-1256.45
263,-1253.5
264,-1250.55
265,-1247.62
266,-1244.69
267,-1241.77
268,-1238.86
269,-1235.95
270,-1233.05
271,-1230.16
272,-1227.28
273,-1224.4
274,-1221.53
275,-1218.67
276,-1215.82
277,-1212.97
278,-1210.13
279,-1207.3
280,-1204.47
281,-1201.65
282,-1198.84
283,-1196.04
284,-1193.24
285,-1190.45
286,-1187.66
287,-1184.89
288,-1182.12
289,-1179.36
290,-1176.6
291,-1173.85
292,-1171.11
293,-1168.37
294,-1165.65
295,-1162.92
296,-1160.21
297,-1157.5
298,-1154.8
299,-1152.11
300,-1149.42
301,-1146.74
302,-1144.06
303,-1141.4
304,-1138.73
305,-1136.08
306,-1133.43
307,-1130.79
308,-1128.16
309,-1125.53
310,-1122.91
311,-1120.29
312,-1117.68
313,-1115.08
314,-1112.48
315,-1109.9
316,-1107.31
317,-1104.74
318,-1102.17
319,-1099.6
320,-1097.04
321,-1094.49
322,-1091.95
323,-1089.41
324,-1086.88
325,-1084.35
326,-1081.83
327,-1079.32
328,-1076.81
329,-1074.31
330,-1071.81
331,-1069.32
332,-1066.84
333,-1064.36
334,-1061.89
335,-1059.43
336,-1056.97
337,-1054.52
338,-1052.07
339,-1049.63
340,-1047.19
341,-1044.76
342,-1042.34
343,-1039.92
344,-1037.51
345,-1035.11
346,-1032.71
347,-1030.31
348,-1027.92
349,-1025.54
350,-1023.17
351,-1020.79
352,-1018.43
353,-1016.07
354,-1013.72
355,-1011.37
356,-1009.03
357,-1006.69
358,-1004.36
359,-1002.03
360,-999.713
361,-997.399
362,-995.091
363,-992.788
364,-990.49
365,-988.198
366,-985.912
367,-983.631
368,-981.355
369,-979.085
370,-976.82
371,-974.561
372,-972.307
373,-970.059
374,-967.816
375,-965.578
376,-963.345
377,-961.118
378,-958.896
379,-956.68
380,-954.469
381,-952.263
382,-950.062
383,-947.866
384,-945.676
385,-943.491
386,-941.311
387,-939.136
388,-936.966
389,-934.802
390,-932.642
391,-930.488
392,-928.339
393,-926.194
394,-924.055
395,-921.921
396,-919.792
397,-917.668
398,-915.549
399,-913.434
400,-911.325
401,-909.221
402,-907.122
403,-905.027
404,-902.938
405,-900.853
406,-898.773
407,-896.698
408,-894.628
409,-892.563
410,-890.502
411,-888.447
412,-886.396
413,-884.349
414,-882.308
415,-880.271
416,-878.239
417,-876.212
418,-874.189
419,-872.172
420,-870.158
421,-868.15
422,-866.146
423,-864.146
424,-862.151
425,-860.161
426,-858.176
427,-856.195
428,-854.218
429,-852.246
430,-850.279
431,-848.316
432,-846.357
433,-844.403
434,-842.454
435,-840.509
436,-838.568
437,-836.632
438,-834.7
439,-832.772
440,-830.849
441,-828.931
442,-827.016
443,-825.106
444,-823.201
445,-821.299
446,-819.402
447,-817.509
448,-815.621
449,-813.737
450,-811.857
451,-809.981
452,-808.109
453,-806.242
454,-804.379
455,-802.52
456,-800.665
457,-798.814
458,-796.968
459,-795.125
460,-793.287
461,-791.453
462,-789.623
463,-787.797
464,-785.975
465,-784.157
466,-782.343
467,-780.533
468,-778.727
469,-776.925
470,-775.128
471,-773.334
472,-771.544
473,-769.758
474,-767.976
475,-766.198
476,-764.424
477,-762.653
478,-760.887
479,-759.124
480,-757.366
481,-755.611
482,-753.86
483,-752.113
484,-750.369
485,-748.63
486,-746.894
487,-745.162
488,-743.434
489,-741.71
490,-739.989
491,-738.272
492,-736.559
493,-734.849
494,-733.143
495,-731.441
496,-729.743
497,-728.048
498,-726.357
499,-724.669
500,-722.985
501,-721.305
502,-719.628
503,-717.955
504,-716.286
505,-714.62
506,-712.957
507,-711.299
508,-709.643
509,-707.992
510,-706.343
511,-704.699
512,-703.057
513,-701.42
514,-699.785
515,-698.154
516,-696.527
517,-694.903
518,-693.282
519,-691.665
520,-690.052
521,-688.441
522,-686.834
523,-685.231
524,-683.631
525,-682.034
526,-680.44
527,-678.85
528,-677.263
529,-675.68
530,-674.099
531,-672.522
532,-670.949
533,-669.378
534,-667.811
535,-666.247
536,-664.686
537,-663.129
538,-661.574
539,-660.023
540,-658.475
541,-656.931
542,-655.389
543,-653.851
544,-652.316
545,-650.784
546,-649.255
547,-647.729
548,-646.206
549,-644.686
550,-643.17
551,-641.656
552,-640.146
553,-638.639
554,-637.134
555,-635.633
556,-634.135
557,-632.64
558,-631.148
559,-629.659
560,-628.172
561,-626.689
562,-625.209
563,-623.732
564,-622.257
565,-620.786
566,-619.318
567,-617.852
568,-616.39
569,-614.93
570,-613.473
571,-612.019
572,-610.568
573,-609.12
574,-607.675
575,-606.232
576,-604.793
577,-603.356
578,-601.922
579,-600.491
580,-599.062
581,-597.637
582,-596.214
583,-594.794
584,-593.377
585,-591.963
586,-590.551
587,-589.142
588,-587.736
589,-586.332
590,-584.931
591,-583.533
592,-582.138
593,-580.745
594,-579.355
595,-577.968
596,-576.583
597,-575.201
598,-573.821
599,-572.445
600,-571.07
601,-569.699
602,-568.33
603,-566.963
604,-565.6
605,-564.238
606,-562.88
607,-561.524
608,-560.17
609,-558.819
610,-557.471
611,-556.125
612,-554.782
613,-553.441
614,-552.102
615,-550.767
616,-549.433
617,-548.102
618,-546.774
619,-545.448
620,-544.124
621,-542.803
622,-541.485
623,-540.169
624,-538.855
625,-537.544
626,-536.235
627,-534.928
628,-533.624
629,-532.322
630,-531.023
631,-529.726
632,-528.431
633,-527.139
634,-525.849
635,-524.561
636,-523.276
637,-521.993
638,-520.712
639,-519.433
640,-518.157
641,-516.883
642,-515.612
643,-514.343
644,-513.076
645,-511.811
646,-510.548
647,-509.288
648,-508.03
649,-506.774
650,-505.521
651,-504.269
652,-503.02
653,-501.773
654,-500.528
655,-499.286
656,-498.045
657,-496.807
658,-495.571
659,-494.337
660,-493.105
661,-491.875
662,-490.648
663,-489.422
664,-488.199
665,-486.977
666,-485.758
667,-484.541
668,-483.326
669,-482.113
670,-480.903
671,-479.694
672,-478.487
673,-477.282
674,-476.08
675,-474.879
676,-473.681
677,-472.484
678,-471.29
679,-470.097
680,-468.907
681,-467.718
682,-466.531
683,-465.347
684,-464.164
685,-462.984
686,-461.805
687,-460.628
688,-459.453
689,-458.281
690,-457.11
691,-455.941
692,-454.774
693,-453.608
694,-452.445
695,-451.284
696,-450.124
697,-448.967
698,-447.811
699,-446.657
700,-445.505
701,-444.355
702,-443.207
703,-442.06
704,-440.915
705,-439.773
706,-438.632
707,-437.493
708,-436.355
709,-435.22
710,-434.086
711,-432.954
712,-431.824
713,-430.695
714,-429.569
715,-428.444
716,-427.321
717,-426.199
718,-425.08
719,-423.962
720,-422.846
721,-421.732
722,-420.619
723,-419.508
724,-418.399
725,-417.291
726,-416.185
727,-415.081
728,-413.979
729,-412.878
730,-411.779
731,-410.681
732,-409.585
733,-408.491
734,-407.399
735,-406.308
736,-405.219
737,-404.131
738,-403.045
739,-401.961
740,-400.878
741,-399.797
742,-398.717
743,-397.639
744,-396.563
745,-395.488
746,-394.415
747,-393.343
748,-392.273
749,-391.205
750,-390.138
751,-389.072
752,-388.008
753,-386.946
754,-385.885
755,-384.826
756,-383.768
757,-382.712
758,-381.657
759,-380.604
760,-379.552
761,-378.502
762,-377.453
763,-376.406
764,-375.36
765,-374.316
766,-373.273
767,-372.231
768,-371.191
769,-370.153
770,-369.116
771,-368.08
772,-367.046
773,-366.013
774,-364.982
775,-363.952
776,-362.923
777,-361.896
778,-360.87
779,-359.846
780,-358.823
781,-357.801
782,-356.781
783,-355.762
784,-354.744
785,-353.728
786,-352.713
787,-351.7
788,-350.688
789,-349.677
790,-348.668
791,-347.66
792,-346.653
793,-345.647
794,-344.643
795,-343.64
796,-342.639
797,-341.638
798,-340.639
799,-339.642
800,-338.645
801,-337.65
802,-336.656
803,-335.664
804,-334.673
805,-333.683
806,-332.694
807,-331.706
808,-330.72
809,-329.735
810,-328.751
811,-327.768
812,-326.787
813,-325.807
814,-324.828
815,-323.85
816,-322.873
817,-321.898
818,-320.924
819,-319.951
820,-318.979
821,-318.008
822,-317.039
823,-316.071
824,-315.104
825,-314.138
826,-313.173
827,-312.209
828,-311.247
829,-310.285
830,-309.325
831,-308.366
832,-307.408
833,-306.451
834,-305.495
835,-304.541
836,-303.587
837,-302.635
838,-301.683
839,-300.733
840,-299.784
841,-298.836
842,-297.889
843,-296.943
844,-295.998
845,-295.055
846,-294.112
847,-293.17
848,-292.23
849,-291.29
850,-290.352
851,-289.414
852,-288.478
853,-287.542
854,-286.608
855,-285.675
856,-284.742
857,-283.811
858,-282.881
859,-281.952
860,-281.023
861,-280.096
862,-279.17
863,-278.244
864,-277.32
865,-276.397
866,-275.474
867,-274.553
868,-273.632
869,-272.713
870,-271.794
871,-270.877
872,-269.96
873,-269.045
874,-268.13
875,-267.216
876,-266.303
877,-265.391
878,-264.48
879,-263.57
880,-262.661
881,-261.753
882,-260.845
883,-259.939
884,-259.033
885,-258.129
886,-257.225
887,-256.322
888,-255.42
889,-254.519
890,-253.619
891,-252.719
892,-251.821
893,-250.923
894,-250.027
895,-249.131
896,-248.236
897,-247.341
898,-246.448
899,-245.555
900,-244.664
901,-243.773
902,-242.883
903,-241.994
904,-241.105
905,-240.218
906,-239.331
907,-238.445
908,-237.56
909,-236.675
910,-235.792
911,-234.909
912,-234.027
913,-233.146
914,-232.266
915,-231.386
916,-230.507
917,-229.629
918,-228.752
919,-227.875
920,-226.999
921,-226.124
922,-225.25
923,-224.376
924,-223.504
925,-222.632
926,-221.76
927,-220.89
928,-220.02
929,-219.151
930,-218.282
931,-217.415
932,-216.548
933,-215.682
934,-214.816
935,-213.951
936,-213.087
937,-212.224
938,-211.361
939,-210.499
940,-209.637
941,-208.777
942,-207.917
943,-207.057
944,-206.199
945,-205.341
